Geography,Category,Data Type,Unit,Current Constant,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
World,Sub 1: Home Furnishings,Retail Value RSP,USD million,Current Prices,566195.4,575189.9,581512.5,539576.2,540215.3,561512.2,607581.4,649674.5,711035.8,788978.8,875927.3,1.559943488
World,Sub 1: Home Improvement,Retail Value RSP,USD million,Current Prices,262462.6,271955.9,278053.6,264062.5,264845.0,276557.7,296726.9,313103.6,335047.6,360666.4,389114.7,1.406992826
World,Sub 1: Homewares,Retail Value RSP,USD million,Current Prices,81420.7,83288.5,84031.4,77439.8,77144.8,80649.1,88511.8,97197.7,111152.2,130057.4,152065.0,1.885513912
World,Home Care,Retail Value RSP,USD million,Current Prices,153187.1,155949.4,155526.0,144325.0,144833.5,152036.2,157999.0,163280.3,169165.6,175722.0,182944.3,1.203294347
World,Sub 1: Air Care,Retail Value RSP,USD million,Current Prices,11768.3,11838.8,11856.7,11233.6,11367.4,11706.7,12188.2,12611.0,13027.5,13460.5,13910.0,1.188208462
World,Sub 1: Bleach,Retail Value RSP,USD million,Current Prices,4716.2,4899.6,4799.3,4372.4,4233.7,4312.9,4344.9,4424.9,4546.0,4695.0,4869.9,1.129147441
World,Sub 1: Dishwashing,Retail Value RSP,USD million,Current Prices,17543.5,17898.3,17706.9,16280.4,16325.1,17024.4,17765.7,18373.2,19082.0,19854.6,20699.1,1.215849017
World,Sub 1: Home Insecticides,Retail Value RSP,USD million,Current Prices,8848.7,8831.2,8698.8,8228.0,8404.0,8919.1,9159.7,9409.0,9699.5,10030.7,10416.6,1.167898106
World,Sub 1: Laundry Care,Retail Value RSP,USD million,Current Prices,80063.5,81711.0,82184.5,76490.0,76675.0,80398.6,83661.0,86612.7,89856.5,93496.2,97496.2,1.212660419
World,Sub 1: Polishes,Retail Value RSP,USD million,Current Prices,4080.6,4049.6,3889.2,3452.2,3332.4,3477.5,3536.5,3572.1,3625.4,3692.3,3771.9,1.084658519
World,Sub 1: Surface Care,Retail Value RSP,USD million,Current Prices,20924.7,21426.7,21120.3,19485.8,19686.4,21154.4,22060.2,22804.2,23645.9,24584.2,25617.3,1.210967931
World,Sub 1: Toilet Care,Retail Value RSP,USD million,Current Prices,5241.6,5294.1,5270.4,4782.6,4809.5,5042.5,5282.8,5473.4,5682.8,5908.4,6163.3,1.222270699
World,Hot Drinks,Retail Value RSP,USD million,Current Prices,141288.0,146461.2,147385.3,136919.8,138640.4,142781.4,147165.1,153810.5,161290.3,169285.5,177969.5,1.246447366
World,Sub 1: Coffee,Retail Value RSP,USD million,Current Prices,81499.7,84353.4,85080.4,78512.4,80419.1,82993.8,85347.1,89278.7,93506.7,97946.0,102809.4,1.238760004
World,Sub 1: Tea,Retail Value RSP,USD million,Current Prices,42280.0,43776.0,44012.7,41214.9,41319.7,42476.1,44264.4,46412.7,48985.6,51846.1,54932.3,1.29325197
World,Sub 1: Other Hot Drinks,Retail Value RSP,USD million,Current Prices,17508.4,18331.7,18292.3,17192.6,16901.6,17311.5,17553.6,18119.1,18798.1,19493.5,20227.7,1.168454496
